State,Time,Altitude,HDOP,Latitude,Longitude,Speed,RSSI,SNR
init,13:24:22.00,662,2,32.1055,35.2115,0km/h,-84,7.000000
init,13:24:52.00,664,2,32.1055,35.2117,3km/h,-88,7.000000
init,,,Q,,,,-85,7.000000
init,13:25:52.00,666,2,32.1055,35.2123,3km/h,-84,7.000000
init,13:26:22.00,667,3,32.1055,35.2123,0km/h,-91,7.000000
init,13:26:52.00,667,2,32.1055,35.2124,2km/h,-78,7.000000
init,13:27:22.00,667,2,32.1054,35.2125,2km/h,-84,7.000000
init,13:27:52.00,668,2,32.1055,35.2122,1km/h,-81,11.000000
init,13:28:22.00,668,2,32.1053,35.2121,0km/h,-87,7.000000
init,13:28:52.00,669,2,32.1054,35.2123,2km/h,-83,7.000000
init,13:29:22.00,671,2,32.1054,35.2124,1km/h,-82,11.000000
init,13:29:52.00,673,2,32.1053,35.2122,0km/h,-84,7.000000
init,13:30:22.00,672,2,32.1055,35.2123,2km/h,-81,11.000000
init,13:30:52.00,673,3,32.1053,35.2123,1km/h,-82,11.000000
init,13:31:22.00,676,2,32.1054,35.2123,1km/h,-77,7.000000
init,13:31:52.00,682,2,32.1054,35.2124,1km/h,-85,11.000000
init,13:32:22.00,686,2,32.1054,35.2126,0km/h,-79,11.000000
init,13:32:52.00,689,2,32.1055,35.2123,0km/h,-84,11.000000
init,13:33:22.00,687,1,32.1055,35.2122,1km/h,-83,8.000000
init,13:33:52.00,686,2,32.1054,35.2119,1km/h,-84,11.000000
init,13:34:22.00,684,2,32.1055,35.2119,0km/h,-84,7.000000
init,13:34:52.00,681,2,32.1055,35.2119,1km/h,-88,7.000000
init,13:35:22.00,680,2,32.1054,35.2119,3km/h,-93,7.000000
init,13:35:52.00,677,1,32.1054,35.2120,2km/h,-87,7.000000
init,13:36:22.00,676,2,32.1054,35.2119,0km/h,-87,11.000000
init,13:36:52.00,675,1,32.1054,35.2118,0km/h,-88,7.000000
init,13:37:22.00,675,2,32.1053,35.2123,2km/h,-89,7.000000
init,13:37:52.00,676,2,32.1054,35.2122,1km/h,-96,7.000000
init,13:38:22.00,674,2,32.1054,35.2119,1km/h,-87,7.000000
init,13:38:52.00,675,2,32.1054,35.2122,0km/h,-87,7.000000
init,13:39:22.00,676,2,32.1053,35.2121,0km/h,-90,12.000000
init,13:39:52.00,675,2,32.1053,35.2121,1km/h,-87,7.000000
init,13:40:22.00,676,2,32.1054,35.2121,0km/h,-90,7.000000
init,13:40:52.00,677,2,32.1054,35.2123,1km/h,-99,7.000000
